"";"Bezirk";"GKZ";"AnzEinwohner";"Anzahl";"AnzahlTot";"AnzahlFaelle7Tage"
"1";"Eisenstadt(Stadt)";101;14816;985;11;5
"2";"Rust(Stadt)";102;1980;76;0;1
"3";"Eisenstadt-Umgebung";103;43236;2347;25;12
"4";"Güssing";104;25699;1822;56;7
"5";"Jennersdorf";105;17097;1298;26;5
"6";"Mattersburg";106;40042;2268;32;16
"7";"Neusiedl am See";107;59990;3248;42;19
"8";"Oberpullendorf";108;37384;2220;41;5
"9";"Oberwart";109;54192;3618;91;13
"10";"Klagenfurt Stadt";201;101300;6200;158;41
"11";"Villach Stadt";202;62882;3947;68;56
"12";"Hermagor";203;18054;1880;29;6
"13";"Klagenfurt Land";204;60014;4158;66;15
"14";"Sankt Veit an der Glan";205;54186;3921;98;21
"15";"Spittal an der Drau";206;75868;5780;124;30
"16";"Villach Land";207;64618;4449;84;32
"17";"Völkermarkt";208;41862;3672;62;9
"18";"Wolfsberg";209;52607;3447;73;24
"19";"Feldkirchen";210;29902;2391;52;12
"20";"Krems an der Donau(Stadt)";301;25036;1372;31;8
"21";"Sankt Pölten(Stadt)";302;55514;3841;57;41
"22";"Waidhofen an der Ybbs(Stadt)";303;11222;892;14;4
"23";"Wiener Neustadt(Stadt)";304;45823;3884;88;16
"24";"Amstetten";305;116520;9904;129;61
"25";"Baden";306;146751;9829;127;64
"26";"Bruck an der Leitha";307;103735;6036;93;42
"27";"Gänserndorf";308;104782;5853;66;103
"28";"Gmünd";309;36553;2710;43;31
"29";"Hollabrunn";310;51033;2595;52;10
"30";"Horn";311;30936;1522;26;6
"31";"Korneuburg";312;91254;4322;51;24
"32";"Krems(Land)";313;56487;3288;41;18
"33";"Lilienfeld";314;25655;1654;45;20
"34";"Melk";315;78191;5728;101;27
"35";"Mistelbach";316;75625;3732;34;19
"36";"Mödling";317;119115;6364;116;24
"37";"Neunkirchen";318;86343;5911;98;12
"38";"Sankt Pölten(Land)";319;131729;7791;138;54
"39";"Scheibbs";320;41414;3755;42;10
"40";"Tulln";321;104593;5360;82;25
"41";"Waidhofen an der Thaya";322;25682;1674;14;2
"42";"Wiener Neustadt(Land)";323;78307;5218;95;12
"43";"Zwettl";325;41987;3318;38;16
"44";"Linz(Stadt)";401;206595;13604;220;110
"45";"Steyr(Stadt)";402;38056;2423;19;30
"46";"Wels(Stadt)";403;62470;5579;71;72
"47";"Braunau am Inn";404;105553;9044;108;46
"48";"Eferding";405;33178;2791;34;20
"49";"Freistadt";406;66861;5500;93;40
"50";"Gmunden";407;101859;7783;109;63
"51";"Grieskirchen";408;64875;5194;71;25
"52";"Kirchdorf an der Krems";409;57071;4216;81;31
"53";"Linz-Land";410;151371;10121;88;74
"54";"Perg";411;68968;5816;73;38
"55";"Ried im Innkreis";412;61690;5887;99;41
"56";"Rohrbach";413;56545;5098;96;8
"57";"Schärding";414;57391;5313;70;16
"58";"Steyr-Land";415;60717;4254;69;39
"59";"Urfahr-Umgebung";416;86005;6077;73;42
"60";"Vöcklabruck";417;137297;11467;158;57
"61";"Wels-Land";418;73777;5636;61;54
"62";"Salzburg(Stadt)";501;155021;11650;140;56
"63";"Hallein";502;60824;6649;65;33
"64";"Salzburg-Umgebung";503;153492;12355;121;57
"65";"Sankt Johann im Pongau";504;81194;9569;115;38
"66";"Tamsweg";505;20251;2484;40;7
"67";"Zell am See";506;87628;7240;105;12
"68";"Graz(Stadt)";601;291072;16143;302;160
"69";"Deutschlandsberg";603;60867;4035;110;30
"70";"Graz-Umgebung";606;156070;8683;249;48
"71";"Leibnitz";610;84756;5876;112;34
"72";"Leoben";611;59700;3352;110;22
"73";"Liezen";612;79652;5438;113;27
"74";"Murau";614;27543;1977;29;16
"75";"Voitsberg";616;51044;3377;119;20
"76";"Weiz";617;90654;6141;144;67
"77";"Murtal";620;71698;5037;166;61
"78";"Bruck-Mürzzuschlag";621;98697;6029;246;33
"79";"Hartberg-Fürstenfeld";622;90606;7308;182;78
"80";"Südoststeiermark";623;84036;5974;171;28
"81";"Innsbruck-Stadt";701;131961;9592;95;90
"82";"Imst";702;60474;5225;39;110
"83";"Innsbruck-Land";703;180453;13653;136;163
"84";"Kitzbühel";704;64168;4474;43;48
"85";"Kufstein";705;110287;9325;138;41
"86";"Landeck";706;44386;3657;48;31
"87";"Lienz";707;48738;5294;46;28
"88";"Reutte";708;32838;2016;6;19
"89";"Schwaz";709;84329;9006;131;12
"90";"Bludenz";801;64107;4152;46;31
"91";"Bregenz";802;134987;9670;105;128
"92";"Dornbirn";803;89912;7563;74;77
"93";"Feldkirch";804;108133;8184;76;65
"94";"Wien";900;1911191;136512;2312;907
